case_id,domain,case_type,source_name,url,retrieval_date,content_hash_sha256,oracle_os_class_default,oracle_label_mapping_policy,license_repo_policy,notes
TECH_PM_0001,Public Tech Postmortems,TECH_PM,Dan Luu post-mortems collection (GitHub),https://github.com/danluu/post-mortems,2026-01-07,,OS-2,single-label or contested; map postmortem 'root cause' to root set,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,High volume; variable depth/PR smoothing.
TECH_PM_0002,Public Tech Postmortems,TECH_PM,Cloudflare Blog (search incidents/postmortems),https://blog.cloudflare.com/,2026-01-07,,OS-2,single-label where explicit; otherwise contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Use site search for 'postmortem'/'incident'.
TECH_PM_0003,Public Tech Postmortems,TECH_PM,GitHub Engineering Blog,https://github.blog/category/engineering/,2026-01-07,,OS-2,single-label where explicit; otherwise contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Filter for incident writeups.
TRANSPORT_SAFETY_0001,Transportation Safety,TRANSPORT_SAFETY,NTSB Aviation Accident Database & Synopses,https://data.ntsb.gov/carol-main-public/basic-search,2026-01-07,,OS-3,single-label preferred: probable cause -> root id,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Excellent facts vs analysis separation in many cases.
TRANSPORT_SAFETY_0002,Transportation Safety,TRANSPORT_SAFETY,NTSB Docket (case exhibits),https://data.ntsb.gov/Docket,2026-01-07,,OS-3,single-label; include contested mapping if multi-factor,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Use for richer evidence packets (exhibits).
TRANSPORT_SAFETY_0003,Transportation Safety,TRANSPORT_SAFETY,UK AAIB Reports (Gov.uk),https://www.gov.uk/aaib-reports,2026-01-07,,OS-3,single-label for proximate cause; multi-label only in separate benchmark,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Strong investigative structure.
CSB_OSHA_0001,Industrial & Chemical Safety,CSB_OSHA,U.S. Chemical Safety Board (CSB) Investigations,https://www.csb.gov/investigations/,2026-01-07,,OS-3,single-label or multi-label depending on scope; document mapping,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Deep causal narratives; good for defeater tests.
CSB_OSHA_0002,Industrial & Chemical Safety,CSB_OSHA,OSHA Severe Injury Reports,https://www.osha.gov/severeinjury,2026-01-07,,OS-1,often contested; prefer category-level scopes,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Often thin; use mainly for volume or category prediction.
CSB_OSHA_0003,Industrial & Chemical Safety,CSB_OSHA,NIOSH FACE fatality investigations,https://www.cdc.gov/niosh/face/,2026-01-07,,OS-2,single-label if clear; otherwise contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Moderate depth; safety-focused analyses.
MED_CASES_0001,Medical Case Reports,MED_CASES,NEJM Case Records of the MGH,https://www.nejm.org/browse/nejm-article-type/case-records-of-the-massachusetts-general-hospital,2026-01-07,,OS-4,single-label diagnosis; staged evidence where possible,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Often high-quality; access may be gated.
MED_CASES_0002,Medical Case Reports,MED_CASES,BMJ Case Reports,https://casereports.bmj.com/,2026-01-07,,OS-3,single-label if confirmed; document confirmation strength,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Mixed access; vary by case.
MED_CASES_0003,Medical Case Reports,MED_CASES,Radiopaedia Case Library,https://radiopaedia.org/cases,2026-01-07,,OS-3,single-label imaging diagnosis; staged evidence optional,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Strong imaging confirmation in many cases.
SECURITY_0001,Security Incidents,SECURITY,CISA Cybersecurity Advisories,https://www.cisa.gov/news-events/cybersecurity-advisories,2026-01-07,,OS-2,mechanism label often possible; attribution often contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Good for 'initial access vector' scopes.
SECURITY_0002,Security Incidents,SECURITY,CISA ICS Advisories,https://www.cisa.gov/news-events/ics-advisories,2026-01-07,,OS-2,category-level mapping; often contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Industrial-control focus; evidence varies.
SECURITY_0003,Security Incidents,SECURITY,Google Cloud Threat Intelligence (Mandiant/GTIG),https://cloud.google.com/blog/topics/threat-intelligence,2026-01-07,,OS-2,contested mapping common; document uncertainty,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,High-quality narrative; sometimes attribution-heavy.
LEGAL_REG_0001,Legal & Regulatory Enforcement,LEGAL_REG,FDA Warning Letters,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/compliance-actions-and-activities/warning-letters,2026-01-07,,OS-1,map to violation/control-failure categories; often contested,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Legal standards differ from causal; choose scopes carefully.
LEGAL_REG_0002,Legal & Regulatory Enforcement,LEGAL_REG,SEC Litigation Releases,https://www.sec.gov/enforcement-litigation/litigation-releases,2026-01-07,,OS-1,category label; often contested until adjudication,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Prefer cases with detailed orders/settlements.
LEGAL_REG_0003,Legal & Regulatory Enforcement,LEGAL_REG,UK ICO Enforcement Actions,https://ico.org.uk/action-weve-taken/enforcement/,2026-01-07,,OS-2,map to compliance failure mechanisms; document evidence limits,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Useful for process/control-failure scopes.
PARTNER_NDA_0001,Partner / NDA Corpora,PARTNER_NDA,Template: Partner SRE incident corpus (internal/NDA),,2026-01-07,,OS-4,single-label from internal RCA; mechanistic where possible,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Fill url with internal reference; keep private.
PARTNER_NDA_0002,Partner / NDA Corpora,PARTNER_NDA,Template: Partner SOC/IR corpus (internal/NDA),,2026-01-07,,OS-4,mechanism labels; include H_other for incomplete forensics,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,Define anonymization + publication rules.
PARTNER_NDA_0003,Partner / NDA Corpora,PARTNER_NDA,Template: Partner clinical ops corpus (internal/NDA),,2026-01-07,,OS-4,staged evidence; confirmation policy required,store url+retrieval_date+hash; store extracted artifacts; do not vendor originals unless license permits,High sensitivity; strict governance.
