question_id,question_text,category,resolution_date,resolved_outcome,outcome_source,is_synthetic
SYN_UK_MACRO_001,Is UK real GDP growth positive for the calendar year?,gdp_growth,2020-12-31,1,synthetic_demo,1
SYN_UK_MACRO_002,Is UK real GDP growth positive for the calendar year?,gdp_growth,2021-12-31,0,synthetic_demo,1
SYN_UK_MACRO_003,Is UK real GDP growth positive for the calendar year?,gdp_growth,2022-12-31,1,synthetic_demo,1
SYN_UK_MACRO_004,Is UK CPI inflation above 2 percent at year-end?,inflation,2021-12-31,1,synthetic_demo,1
SYN_UK_MACRO_005,Is UK CPI inflation above 2 percent at year-end?,inflation,2023-12-31,0,synthetic_demo,1
SYN_UK_MACRO_006,Is UK unemployment below 5 percent at year-end?,labor,2020-12-31,0,synthetic_demo,1
SYN_UK_MACRO_007,Is UK unemployment below 5 percent at year-end?,labor,2022-12-31,1,synthetic_demo,1
SYN_UK_MACRO_008,Is Bank Rate above 3 percent at year-end?,policy_rate,2021-12-31,0,synthetic_demo,1
SYN_UK_MACRO_009,Is Bank Rate above 3 percent at year-end?,policy_rate,2023-12-31,1,synthetic_demo,1
SYN_UK_MACRO_010,Is real household consumption growth positive for the calendar year?,consumption,2024-12-31,1,synthetic_demo,1
